CB(Vd=0.2: Vg=3.0) X,CB(Vd=0.2: Vg=3.0) Y,VB(Vd=0.2: Vg=3.0) X,VB(Vd=0.2: Vg=3.0) Y,CB(Vd=0.2: Vg=0.9) X,CB(Vd=0.2: Vg=0.9) Y,VB(Vd=0.2: Vg=0.9) X,VB(Vd=0.2: Vg=0.9) Y,CB(Vd=0.2: Vg=0.3) X,CB(Vd=0.2: Vg=0.3) Y,VB(Vd=0.2: Vg=0.3) X,VB(Vd=0.2: Vg=0.3) Y,CB(Vd=0.0: Vg=0.0) X,CB(Vd=0.0: Vg=0.0) Y,CB(Vd=0.0: Vg=0.0) X,CB(Vd=0.0: Vg=0.0) Y
-1.4341841,0.16402106,-1.4341841,-0.96013817,-1.4341841,0.16410534,-1.4341841,-0.96005389,-1.4341841,0.16410766,-1.4341841,-0.96005157,-1.4341841,0.16410766,-1.4341841,-0.96005157
-1.40625,0.16402024,-1.40625,-0.96013899,-1.40625,0.16410531,-1.40625,-0.96005392,-1.40625,0.16410766,-1.40625,-0.96005157,-1.40625,0.16410766,-1.40625,-0.96005157
-1.3404341,0.16400794,-1.3404341,-0.96015129,-1.3404341,0.16410498,-1.3404341,-0.96005425,-1.3404341,0.16410766,-1.3404341,-0.96005157,-1.3404341,0.16410766,-1.3404341,-0.96005157
-1.3125,0.16400535,-1.3125,-0.96015388,-1.3125,0.16410491,-1.3125,-0.96005432,-1.3125,0.16410766,-1.3125,-0.96005157,-1.3125,0.16410766,-1.3125,-0.96005157
-1.2466841,0.1639829,-1.2466841,-0.96017633,-1.2466841,0.16410431,-1.2466841,-0.96005492,-1.2466841,0.16410766,-1.2466841,-0.96005157,-1.2466841,0.16410766,-1.2466841,-0.96005157
-1.21875,0.16397815,-1.21875,-0.96018108,-1.21875,0.16410418,-1.21875,-0.96005505,-1.21875,0.16410766,-1.21875,-0.96005157,-1.21875,0.16410766,-1.21875,-0.96005157
-1.1529341,0.16394177,-1.1529341,-0.96021746,-1.1529341,0.1641032,-1.1529341,-0.96005603,-1.1529341,0.16410766,-1.1529341,-0.96005157,-1.1529341,0.16410766,-1.1529341,-0.96005157
-1.125,0.16393401,-1.125,-0.96022522,-1.125,0.16410299,-1.125,-0.96005624,-1.125,0.16410766,-1.125,-0.96005157,-1.125,0.16410766,-1.125,-0.96005157
-1.0591841,0.16387626,-1.0591841,-0.96028297,-1.0591841,0.16410144,-1.0591841,-0.9600578,-1.0591841,0.16410766,-1.0591841,-0.96005157,-1.0591841,0.16410766,-1.0591841,-0.96005157
-1.03125,0.16386367,-1.03125,-0.96029556,-1.03125,0.1641011,-1.03125,-0.96005813,-1.03125,0.16410766,-1.03125,-0.96005157,-1.03125,0.16410766,-1.03125,-0.96005157
-0.96543407,0.16376899,-0.96543407,-0.96039024,-0.96543407,0.16409854,-0.96543407,-0.96006069,-0.96543407,0.16410767,-0.96543407,-0.96005156,-0.96543407,0.16410767,-0.96543407,-0.96005156
-0.9375,0.1637475,-0.9375,-0.96041173,-0.9375,0.16409796,-0.9375,-0.96006127,-0.9375,0.16410767,-0.9375,-0.96005156,-0.9375,0.16410767,-0.9375,-0.96005156
-0.87168407,0.16358065,-0.87168407,-0.96057858,-0.87168407,0.16409355,-0.87168407,-0.96006568,-0.87168407,0.16410789,-0.87168407,-0.96005134,-0.87168407,0.16410798,-0.87168407,-0.96005125
-0.84375,0.16353943,-0.84375,-0.9606198,-0.84375,0.16409245,-0.84375,-0.96006678,-0.84375,0.16410793,-0.84375,-0.9600513,-0.84375,0.16410805,-0.84375,-0.96005119
-0.78788185,0.1632912,-0.78788185,-0.96086803,-0.78788185,0.16408693,-0.78788185,-0.9600723,-0.78788185,0.16411133,-0.78788185,-0.9600479,-0.78788185,0.16411321,-0.78788185,-0.96004602
-0.75,0.16310059,-0.75,-0.96105864,-0.75,0.1640835,-0.75,-0.96007573,-0.75,0.16411504,-0.75,-0.96004419,-0.75,0.16411834,-0.75,-0.9600409
-0.71211815,0.16269512,-0.71211815,-0.96146411,-0.71211815,0.16411621,-0.71211815,-0.96004302,-0.71211815,0.16421266,-0.71211815,-0.95994658,-0.71211815,0.16425558,-0.71211815,-0.95990365
-0.65625,0.16208851,-0.65625,-0.96207072,-0.65625,0.164131,-0.65625,-0.96002823,-0.65625,0.16430701,-0.65625,-0.95985222,-0.65625,0.16440332,-0.65625,-0.95975592
-0.63730907,0.16193693,-0.63730907,-0.96222231,-0.63730907,0.16452683,-0.63730907,-0.9596324,-0.63730907,0.16525454,-0.63730907,-0.95890469,-0.63730907,0.1657591,-0.63730907,-0.95840013
-0.609375,0.16130994,-0.609375,-0.96284929,-0.609375,0.16478969,-0.609375,-0.95936954,-0.609375,0.16621364,-0.609375,-0.95794559,-0.609375,0.16731242,-0.609375,-0.95684681
-0.59043407,0.16232279,-0.59043407,-0.96183645,-0.59043407,0.16721108,-0.59043407,-0.95694815,-0.59043407,0.17278473,-0.59043407,-0.9513745,-0.59043407,0.17699417,-0.59043407,-0.94716506
-0.5625,0.16217429,-0.5625,-0.96198494,-0.5625,0.16946335,-0.5625,-0.95469588,-0.5625,0.1812723,-0.5625,-0.94288693,-0.5625,0.19085264,-0.5625,-0.93330659
