CB(Vd=4.5: Vg=2.5) X,CB(Vd=4.5: Vg=2.5) Y,VB(Vd=4.5: Vg=2.5) X,VB(Vd=4.5: Vg=2.5) Y,CB(Vd=1.6: Vg=2.5) X,CB(Vd=1.6: Vg=2.5) Y,VB(Vd=1.6: Vg=2.5) X,VB(Vd=1.6: Vg=2.5) Y,CB(Vd=0.2: Vg=2.5) X,CB(Vd=0.2: Vg=2.5) Y,VB(Vd=0.2: Vg=2.5) X,VB(Vd=0.2: Vg=2.5) Y,CB(Vd=0.0: Vg=0.0) X,CB(Vd=0.0: Vg=0.0) Y,VB(Vd=0.0: Vg=0.0) X,VB(Vd=0.0: Vg=0.0) Y
-1.5,0.16394459,-1.5,-0.96021464,-1.5,0.1639617,-1.5,-0.96019753,-1.5,0.16409307,-1.5,-0.96006616,-1.5,0.16410764,-1.5,-0.96005159
-1.4689213,0.16393523,-1.4689213,-0.960224,-1.4689213,0.16395331,-1.4689213,-0.96020592,-1.4689213,0.16409223,-1.4689213,-0.960067,-1.4689213,0.16410764,-1.4689213,-0.96005159
-1.40625,0.16393523,-1.40625,-0.960224,-1.40625,0.16395331,-1.40625,-0.96020592,-1.40625,0.16409223,-1.40625,-0.960067,-1.40625,0.16410764,-1.40625,-0.96005159
-1.3751713,0.16390585,-1.3751713,-0.96025339,-1.3751713,0.16392699,-1.3751713,-0.96023224,-1.3751713,0.16408959,-1.3751713,-0.96006964,-1.3751713,0.16410764,-1.3751713,-0.96005159
-1.3125,0.16390585,-1.3125,-0.96025339,-1.3125,0.16392699,-1.3125,-0.96023224,-1.3125,0.16408959,-1.3125,-0.96006964,-1.3125,0.16410764,-1.3125,-0.96005159
-1.2814213,0.16385199,-1.2814213,-0.96030724,-1.2814213,0.16387874,-1.2814213,-0.96028049,-1.2814213,0.16408474,-1.2814213,-0.96007449,-1.2814213,0.16410764,-1.2814213,-0.96005159
-1.21875,0.16385199,-1.21875,-0.96030724,-1.21875,0.16387874,-1.21875,-0.96028049,-1.21875,0.16408474,-1.21875,-0.96007449,-1.21875,0.16410764,-1.21875,-0.96005159
-1.1876713,0.16376421,-1.1876713,-0.96039502,-1.1876713,0.16380004,-1.1876713,-0.96035919,-1.1876713,0.1640768,-1.1876713,-0.96008243,-1.1876713,0.16410764,-1.1876713,-0.96005159
-1.125,0.16376421,-1.125,-0.96039502,-1.125,0.16380004,-1.125,-0.96035919,-1.125,0.1640768,-1.125,-0.96008243,-1.125,0.16410764,-1.125,-0.96005159
-1.0939213,0.16362321,-1.0939213,-0.96053603,-1.0939213,0.16367348,-1.0939213,-0.96048575,-1.0939213,0.16406393,-1.0939213,-0.9600953,-1.0939213,0.16410764,-1.0939213,-0.96005159
-1.03125,0.16362321,-1.03125,-0.96053603,-1.03125,0.16367348,-1.03125,-0.96048575,-1.03125,0.16406393,-1.03125,-0.9600953,-1.03125,0.16410764,-1.03125,-0.96005159
-1.0001713,0.16338615,-1.0001713,-0.96077309,-1.0001713,0.16346029,-1.0001713,-0.96069894,-1.0001713,0.16404196,-1.0001713,-0.96011727,-1.0001713,0.16410765,-1.0001713,-0.96005159
-0.9375,0.16338615,-0.9375,-0.96077309,-0.9375,0.16346029,-0.9375,-0.96069894,-0.9375,0.16404196,-0.9375,-0.96011727,-0.9375,0.16410765,-0.9375,-0.96005159
-0.9064213,0.16294244,-0.9064213,-0.96121679,-0.9064213,0.16306006,-0.9064213,-0.96109917,-0.9064213,0.16399982,-0.9064213,-0.96015941,-0.9064213,0.16410772,-0.9064213,-0.96005151
-0.84375,0.16294244,-0.84375,-0.96121679,-0.84375,0.16306006,-0.84375,-0.96109917,-0.84375,0.16399982,-0.84375,-0.96015941,-0.84375,0.16410772,-0.84375,-0.96005151
-0.8126713,0.16204815,-0.8126713,-0.96211108,-0.8126713,0.16224975,-0.8126713,-0.96190948,-0.8126713,0.16391155,-0.8126713,-0.96024768,-0.8126713,0.16410943,-0.8126713,-0.9600498
-0.75,0.16204815,-0.75,-0.96211108,-0.75,0.16224975,-0.75,-0.96190948,-0.75,0.16391155,-0.75,-0.96024768,-0.75,0.16410943,-0.75,-0.9600498
-0.6819405,0.15913419,-0.6819405,-0.96502504,-0.6819405,0.15959609,-0.6819405,-0.96456314,-0.6819405,0.16361066,-0.6819405,-0.96054857,-0.6819405,0.16416716,-0.6819405,-0.95999207
